msg_id,text,timestamp
0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0.4976227060752334
1,Ok lar... Joking wif u oni...,1.7788863566760114
2,U dun say so early hor... U c already then say...,7.064230503392331
3,"Nah I don't think he goes to usf, he lives around here though",8.77911369734845
4,Even my brother is not like to speak with me. They treat me like aids patent.,8.934445561913645
5,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,9.075117208535637
6,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",9.164551251314187
7,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,10.096139472106291
8,I HAVE A DATE ON SUNDAY WITH WILL!!,10.781087802223038
9,Oh k...i'm watching here:),11.96370660398113
10,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,16.08193456174551
11,Fine if thats the way u feel. Thats the way its gota b,17.1510032377523
12,Is that seriously how you spell his name?,19.524920595146614
13,I‘m going to try for 2 months ha ha only joking,23.79490153912156
14,So ü pay first lar... Then when is da stock comin...,25.8005559821007
15,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,26.651112577840966
16,Ffffffffff. Alright no way I can meet up with you sooner?,26.883207506890372
17,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,28.99290848515257
18,Lol your always so convincing.,29.164908609663204
19,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,29.610746242196672
20,"I'm back &amp; we're packing the car now, I'll let you know if there's room",34.214355377799194
21,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,35.663681972389945
22,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",35.77460973351774
23,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,39.62754974918458
24,K tell me anything about you.,39.745715676143966
25,For fear of fainting with the of all that housework you just did? Quick have a cuppa,40.66991927700409
26,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,40.86649101377694
27,"Oops, I'll let you know when my roommate's done",41.034239179610225
28,I see the letter B on my car,43.025216643695735
29,Anything lor... U decide...,44.97836786242058
30,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,45.213400510905004
31,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,49.83191995880445
32,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",51.65836325656796
33,WHO ARE YOU SEEING?,52.22504394126598
34,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,52.906691583731885
35,No calls..messages..missed calls,54.909995749283496
36,Didn't you get hep b immunisation in nigeria.,55.38230524186379
37,"Fair enough, anything going on?",56.563753064417064
38,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",62.59640608870872
39,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,63.24292824046108
40,What you thinked about me. First time you saw me in class.,63.94905019403129
41,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",64.67769730820191
42,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,67.28503656926428
43,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",68.56811924723208
44,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,70.70561380129934
45,"Sorry, I'll call later in meeting.",71.48427828758477
46,Tell where you reached,72.82808251623413
47,Yes..gauti and sehwag out of odi series.,75.82125002378767
48,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,76.00414021947262
49,Ha ha ha good joke. Girls are situation seekers.,79.8635104548449
50,Its a part of checking IQ,82.74133556162624
51,"Sorry my roommates took forever, it ok if I come by now?",85.42979842241124
